,scientific_name,common_name,genus,percentage,count
66,Ulmus pumila,Siberian Elm,Ulmus,0.23977584999191767,89
67,Acer buergeranum,Trident Maple,Acer,0.23977584999191767,89
68,Dodonaea viscosa 'Purpurea',Purple Hopseed Bush,Dodonaea,0.2316935179697182,86
69,Magnolia grandiflora 'Samuel Sommer',Samuel Sommer Magnolia,Magnolia,0.2316935179697182,86
70,Photinia fraseri,Photinia: Chinese photinia,Photinia,0.22630529662158524,84
71,Geijera parviflora,Australian Willow,Geijera,0.22630529662158524,84
72,Pinus pinea,Italian Stone Pine,Pinus,0.22091707527345222,82
73,Crataegus laevigata,English Hawthorn,Crataegus,0.21822296459938573,81
74,Fraxinus spp,Ash Spp,Fraxinus,0.21552885392531923,80
75,Acacia stenophylla,Shoestring Acacia,Acacia,0.21014063257718626,78
76,Platanus x hispanica 'Yarwood',Yarwood Sycamore,Platanus,0.21014063257718626,78
77,Trachycarpus fortunei,Windmill Palm,Trachycarpus,0.2074465219031198,77
78,Populus nigra 'Italica',Lombardy Poplar,Populus,0.19397596853278734,72
79,Pinus canariensis,Canary Island Pine,Pinus,0.18858774718465435,70
80,Eucalyptus Spp,Eucalyptus,Eucalyptus,0.18858774718465435,70
81,Quercus suber,Cork Oak,Quercus,0.17781130448838836,66
82,Magnolia grandiflora 'Saint Mary',Saint Mary Magnolia,Magnolia,0.17781130448838836,66
83,Leptospermum laevigatum,Australian Tea Tree,Leptospermum,0.1751171938143219,65
84,Prunus x yedoensis,Yoshino Cherry,Prunus,0.1724230831402554,64
85,Sequoia sempervirens,Coast Redwood,Sequoia,0.1724230831402554,64
86,Pittosporum tenuifolium,Tawhiwhi Pittosporum,Pittosporum,0.16164664044398944,60
87,Liriodendron tulipifera,Tulip Tree,Liriodendron,0.16164664044398944,60
88,Ulmus americana,American Elm,Ulmus,0.15625841909585647,58
89,Schinus molle,California Pepper,Schinus,0.15625841909585647,58
90,Prunus domestica 'Mariposa',Mariposa Plum,Prunus,0.15087019774772348,56
91,Podocarpus macrophyllus,Yew Pine,Podocarpus,0.15087019774772348,56
92,Podocarpus gracilor,Fern Pine,Podocarpus,0.14817608707365698,55
93,Melaleuca linariifolia,Flaxleaf Paperbark,Melaleuca,0.14548197639959048,54
94,Chamaerops humilis,Mediterranean Fan Palm,Chamaerops,0.14278786572552402,53
95,Cupaniopsis anacardioides,Carrotwood,Cupaniopsis,0.14278786572552402,53
96,Ceanothus 'Ray Hartman',California Lilac 'Ray Hartman',Ceanothus,0.14009375505145752,52
97,Ulmus spp,Elm Spp,Ulmus,0.14009375505145752,52
98,Prunus blireiana,Flowering Plum,Prunus,0.13739964437739102,51
99,Koelreuteria paniculata,Golden Rain Tree,Koelreuteria,0.13201142302925803,49
100,Acer x freemanii,Freeman Maple,Acer,0.12662320168112506,47
101,Eriobotrya japonica,Edible Loquat,Eriobotrya,0.12392909100705857,46
102,Cotoneaster SPP,Cotoneaster,Cotoneaster,0.1158467589848591,43
103,Robinia x ambigua 'Purple Robe',Purple Robe Locust,Robinia,0.1158467589848591,43
104,Agonis flexuosa 'After Dark',Peppermint willow 'After Dark',Agonis,0.11045853763672611,41
105,Cupressus sempervirens,Italian Cypress,Cupressus,0.10776442696265962,40
106,Ceanothus Sps,California lilac,Ceanothus,0.10507031628859313,39
107,Magnolia doltsopa,Himalayan Magnolia,Magnolia,0.10507031628859313,39
108,Fraxinus americana,American Ash,Fraxinus,0.10237620561452665,38
109,Acacia longifolia,Golden Wattle,Acacia,0.09968209494046017,37
110,Pyrus calleryana 'Bradford',Ornamental Pear: Bradford,Pyrus,0.09698798426639367,36
111,Ligustrum japonicum,Japanese Privet,Ligustrum,0.09698798426639367,36
112,Celtis sinensis,Chinese Hackberry,Celtis,0.09698798426639367,36
113,Pyrus calleryana 'Chanticleer',Ornamental Pear Tree 'Chanticleer',Pyrus,0.09429387359232717,35
114,Quercus ilex,Holly Oak,Quercus,0.09429387359232717,35
115,Pinus Spp,Pine Spp,Pinus,0.09159976291826068,34
116,Thuja occidentalis 'Emerald',Emerald Arborvitae,Thuja,0.09159976291826068,34
117,Pittosporum eugenioides,Tarata,Pittosporum,0.08890565224419418,33
118,Ulmus parvifolia 'Drake',Drake's Chinese Elm,Ulmus,0.08351743089606121,31
119,Citrus spp,Lemon: Orange: Lime,Citrus,0.08351743089606121,31
120,Melaleuca ericifolia,Heath Melaleuca,Melaleuca,0.08082332022199472,30
121,Platanus x hispanica 'Columbia',Columbia Hybrid Plane Tree,Platanus,0.08082332022199472,30
122,Brahea edulis,Guadalupe Palm,Brahea,0.08082332022199472,30
123,Acer rubrum 'Red Sunset',Red Swamp Maple,Acer,0.08082332022199472,30
124,Olea europaea 'Fruitless',Fruitless Olive,Olea,0.08082332022199472,30
125,Betula pendula,European White Birch,Betula,0.08082332022199472,30
126,Malus,Crab Apple,Malus,0.07812920954792824,29
127,Eucalyptus nicholii,Nichol's Willow-Leafed Peppermint,Eucalyptus,0.07812920954792824,29
128,Malus floribunda,Showy Crab Apple: Japanese Crabapple,Malus,0.07812920954792824,29
129,Olea europaea 'Wilsonii',Wilson Olive Semi-fruitless,Olea,0.07812920954792824,29
130,Prunus spp,Cherry,Prunus,0.07543509887386174,28
131,Fraxinus oxycarpa 'Raywood',Raywood Ash,Fraxinus,0.07543509887386174,28
132,Cinnamomum camphora,Camphor Tree,Cinnamomum,0.07543509887386174,28
133,Ceiba speciosa,Silk floss,Ceiba,0.07274098819979524,27
134,Magnolia grandiflora 'Russet',Russet Magnolia,Magnolia,0.07274098819979524,27
135,Ginkgo biloba 'Autumn Gold',Ginkgo: Autumn Gold,Ginkgo,0.07274098819979524,27
136,Cupressocyparis leylandii,Leyland Cypress,Cupressocyparis,0.07004687752572876,26
137,Cedrus deodara,Deodar Cedar,Cedrus,0.07004687752572876,26
138,Melaleuca styphelliodes,Paperbark Tree,Melaleuca,0.07004687752572876,26
139,Acer saccharinum,Silver Maple,Acer,0.07004687752572876,26
140,Quercus virginiana,Southern Live Oak,Quercus,0.06735276685166226,25
141,Rhaphiolepis indica,India Hawthorn,Rhaphiolepis,0.06465865617759578,24
142,Lagerstroemia indica,Crape Myrtle,Lagerstroemia,0.06465865617759578,24
143,Brugmansia spp,Angel trumpet,Brugmansia,0.06465865617759578,24
144,Magnolia champaca,Champa,Magnolia,0.061964545503529284,23
145,Shrub,Shrub,Shrub,0.061964545503529284,23
146,Cercis occidentalis,Western Redbud,Cercis,0.061964545503529284,23
147,Tilia cordata,Littleleaf Linden,Tilia,0.061964545503529284,23
148,Hymenosporum flavum,Sweet Shade,Hymenosporum,0.059270434829462794,22
149,Prunus cerasifera 'Atropurpurea',Purple-Leaf Plum,Prunus,0.059270434829462794,22
150,Crateagus spp,Hawthorn,Crateagus,0.059270434829462794,22
151,Hymenosporum flavum,Sweetshade,Hymenosporum,0.059270434829462794,22
152,Aesculus californica,California Buckeye,Aesculus,0.05657632415539631,21
153,Fraxinus oxycarpa,Ash,Fraxinus,0.05657632415539631,21
154,Magnolia x soulangiana,Saucer Magnolia,Magnolia,0.05657632415539631,21
155,Dodonaea viscosa,Hop Bush,Dodonaea,0.05657632415539631,21
156,Liquidambar styraciflua 'Rotundiloba',Roundleaf sweetgum,Liquidambar,0.05388221348132981,20
157,Syzygium australe,Eugenia,Syzygium,0.05388221348132981,20
158,Melaleuca nesophila,Pink Melaleuca,Melaleuca,0.05388221348132981,20
159,Corymbia maculata,Spotted Gum,Corymbia,0.05388221348132981,20
160,Eucalyptus camaldulensis,River Red Gum,Eucalyptus,0.051188102807263325,19
161,Ilex altaclarensis 'Wilsonii',Wilson Holly Tree,Ilex,0.051188102807263325,19
162,Pinus thunbergii,Japanese Black Pine,Pinus,0.051188102807263325,19
