,scientific_name,common_name,genus,percentage,count
244,Salix spp,Willow,Salix,0.016164664044398945,6
245,Ficus macrophylla,Morton Bay Fig,Ficus,0.016164664044398945,6
246,Cussonia spicata,Cabbage tree,Cussonia,0.016164664044398945,6
247,Prunus caroliniana,Carolina Cherry Laurel,Prunus,0.016164664044398945,6
248,Magnolia grandiflora 'D.D. Blanchard',D.D. Blanchard Southern Magnolia,Magnolia,0.016164664044398945,6
249,Juglans regia,Walnut: English,Juglans,0.016164664044398945,6
250,Dicksonia antarctica,Soft Tree Fern,Dicksonia,0.016164664044398945,6
251,Metasequoia glyplostroboides,Dawn Redwood,Metasequoia,0.016164664044398945,6
252,Bambusa spp,Bamboo Species,Bambusa,0.016164664044398945,6
253,Persea indica,Indian Bay,Persea,0.013470553370332452,5
254,Prunus armeniaca,Apricot,Prunus,0.013470553370332452,5
255,Ginkgo biloba 'Princeton Sentry',Princeton Sentry Maidenhair,Ginkgo,0.013470553370332452,5
256,Fraxinus x Moraine,Moraine Ash,Fraxinus,0.013470553370332452,5
257,Cotinus coggygria 'Royal Purple',Smoke tree,Cotinus,0.013470553370332452,5
258,Banksia integrifolia,Coast Banksia,Banksia,0.013470553370332452,5
259,Quillaja saponaria,Chilean Soapbark,Quillaja,0.013470553370332452,5
260,Styphnolobium japonicum,Chinese scholar tree,Styphnolobium,0.013470553370332452,5
261,Photinia fraseri,Photinia Tree,Photinia,0.013470553370332452,5
262,Grevillea 'Red Hooks',Silk Oak Tree 'Red Hooks',Grevillea,0.013470553370332452,5
263,:: Tree,,::,0.013470553370332452,5
264,Pyrus calleryana 'Redspire',Ornamental Pear Tree 'Redspire',Pyrus,0.010776442696265962,4
265,Citrus aurantifolia 'Bearss',Seedless Lime,Citrus,0.010776442696265962,4
266,Palm (unknown Genus),Palm Spp,Palm,0.010776442696265962,4
267,Syringa,Lilac Tree,Syringa,0.010776442696265962,4
268,Cupressus arizonica,Arizona Cypress,Cupressus,0.010776442696265962,4
269,Quercus rubra,Red Oak,Quercus,0.010776442696265962,4
270,Olea europaea 'Swan Hill',Olive,Olea,0.010776442696265962,4
271,Brachychiton populneus,Bottle Tree,Brachychiton,0.010776442696265962,4
272,Alnus cordata,Italian Alder,Alnus,0.010776442696265962,4
273,Olea Majestic Beauty,,Olea,0.010776442696265962,4
